ZCTA5CE20,ALLOC_AREA_FRACTARGET,ALLOC_AREA_FRACSOURCE
47951,0.0,0.0
47631,0.0,0.0
47620,0.0,0.0
47616,0.0,0.0
47982,0.0,0.0
47991,0.0,0.0
47838,0.0,0.0
46320,0.0,0.0
46303,0.0,0.0
47942,0.0,0.0
46394,1.2633938522710825e-11,1.1187184829722825e-09
46321,0.0,0.0
47861,0.0,0.0
46356,0.0,0.0
47963,0.0,0.0
47928,0.0,0.0
46311,0.0,0.0
47666,0.0,0.0
46327,5.052469786367842e-12,7.762292135147429e-10
47917,0.0,0.0
46349,0.0,0.0
47802,0.0,0.0
47993,0.0,0.0
47849,0.0,0.0
47842,0.0,0.0
46324,0.0,0.0
47561,0.0,0.0
46376,0.0,0.0
47591,0.0,0.0
47944,0.0,0.0
47932,4.156784062120245e-13,2.867893181187246e-12
47847,0.0,0.0
47885,0.0,0.0
47974,0.0,0.0
63386,0.0,0.0
63330,0.0,0.0
63401,0.0,0.0
63070,0.0,0.0
63010,0.0,0.0
63389,0.0,0.0
63343,0.0,0.0
63052,0.0,0.0
63461,0.0,0.0
63670,0.0,0.0
63471,0.0,0.0
63775,0.0,0.0
63012,0.0,0.0
63459,0.0,0.0
63703,0.0,0.0
63125,0.0,0.0
63373,0.0,0.0
63353,0.0,0.0
63430,0.0,0.0
63347,0.0,0.0
63111,0.0,0.0
63336,0.0,0.0
63048,0.0,0.0
63028,0.0,0.0
63755,0.0,0.0
63102,0.0,0.0
63301,0.0,0.0
63701,0.0,0.0
63780,0.0,0.0
63673,0.0,0.0
63433,0.0,0.0
63467,0.0,0.0
63019,0.0,0.0
63435,0.0,0.0
63448,0.0,0.0
63834,0.0,0.0
63137,0.0,0.0
63129,0.0,0.0
63147,0.0,0.0
63627,0.0,0.0
63104,0.0,0.0
63118,0.0,0.0
63748,0.0,0.0
63138,0.0,0.0
53520,0.0,0.0
53585,0.0,0.0
53192,0.0,0.0
53566,0.0,0.0
53550,0.0,0.0
53587,0.0,0.0
53525,0.0,0.0
53541,0.0,0.0
53142,0.0,0.0
53184,0.0,0.0
53147,0.0,0.0
53181,0.0,0.0
53811,0.0,0.0
53586,0.0,0.0
53128,0.0,0.0
53104,0.0,0.0
53522,0.0,0.0
53158,0.0,0.0
53179,0.0,0.0
53511,0.0,0.0
52064,0.0,0.0
52003,0.0,0.0
52732,0.0,0.0
52722,0.0,0.0
52658,0.0,0.0
52767,0.0,0.0
52753,0.0,0.0
52639,0.0,0.0
52728,0.0,0.0
52730,0.0,0.0
52031,0.0,0.0
